timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2025-10-29T22:18:53.327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-10-29T22:18:53.344,-58373.882875,33322.830000,-8413.777758,-16917.074253,20756.098122,16352.938575,-36980.313001,7283.561800
2025-10-29T22:18:53.359,-59232.793359,33857.997818,-10330.663363,-17609.732462,19940.818243,18956.693287,-37954.558486,13890.670406
2025-10-29T22:18:53.363,-52405.832995,29334.384720,-5475.059804,-2969.563361,23643.630581,14540.703838,-31094.606947,720.195558
2025-10-29T22:18:53.366,-50855.091316,28250.079244,-3065.362938,-755.913646,24825.032035,11420.824995,-29419.142535,-7469.505962
2025-10-29T22:18:53.369,-57259.737821,32567.095168,-7451.378697,-14643.991249,21409.350206,15330.100397,-35844.844382,4332.505683
2025-10-29T22:18:53.373,-59869.505151,34275.886032,-10584.690939,-19130.276934,19643.785911,19029.358808,-38577.926287,14227.444139
2025-10-29T22:18:53.376,-53614.727094,30128.653959,-6490.231334,-5427.316478,22947.731369,15536.228184,-32325.182238,3492.750644
2025-10-29T22:18:53.379,-50323.142150,27903.984833,-2902.575183,550.299948,25060.328848,11396.439242,-28911.176790,-7795.394396
2025-10-29T22:18:53.382,-55984.570799,31711.313929,-6427.221766,-12028.211299,22136.474804,14283.815239,-34560.066111,1231.044678
2025-10-29T22:18:53.386,-60136.742608,34468.446311,-10535.181825,-19940.348856,19567.857035,18807.897724,-38830.277482,13676.093659
2025-10-29T22:18:53.389,-54926.819197,31005.177618,-7506.341637,-8187.198125,22218.818631,16504.125774,-33651.892382,6185.420595
2025-10-29T22:18:53.392,-50157.068689,27805.413640,-3022.671106,1113.206281,25084.491084,11659.295757,-28764.437588,-7329.673449
2025-10-29T22:18:53.395,-54702.407682,30838.254790,-5460.575874,-9312.206127,22831.390540,13332.569698,-33263.441415,-1660.935779
2025-10-29T22:18:53.399,-60098.945808,34444.418185,-10254.667432,-20052.621669,19656.191129,18366.160198,-38772.498223,12497.664988
2025-10-29T22:18:53.402,-56303.351379,31903.963614,-8510.426701,-11070.349642,21465.341325,17413.819422,-35043.511992,8798.183059
2025-10-29T22:18:53.405,-50361.430688,27947.637790,-3427.014163,931.576005,24905.632425,12196.542286,-28996.269881,-6027.416113
2025-10-29T22:18:53.409,-53433.856777,29977.913794,-4571.110555,-6586.433242,23511.308254,12514.272334,-31991.649507,-4190.058016
2025-10-29T22:18:53.412,-59675.380251,34167.278906,-9701.014722,-19407.796193,19944.416874,17684.230826,-38326.893845,10619.984343
2025-10-29T22:18:53.415,-57563.922711,32730.955807,-9357.490761,-13864.384754,20786.250625,18134.640829,-36306.765533,10904.209126
2025-10-29T22:18:53.418,-50877.063081,28298.046088,-4040.591900,-28.744343,24559.940345,12916.581382,-29540.423100,-4201.211536
2025-10-29T22:18:53.422,-52259.920807,29183.868072,-3806.703246,-4049.174970,24128.998712,11849.196178,-30821.289816,-6356.992585
2025-10-29T22:18:53.425,-58931.178919,33674.802920,-8928.381971,-18044.496244,20422.990075,16809.607066,-37560.743101,8110.531641
2025-10-29T22:18:53.429,-58642.662602,33445.988112,-9998.069405,-16299.294388,20241.829186,18629.128472,-37381.996200,12383.179353
2025-10-29T22:18:53.434,-51713.599469,28868.149682,-4848.965090,-1644.954281,24051.281697,13798.111832,-30401.546407,-1853.540761
2025-10-29T22:18:53.437,-51310.530461,28560.947306,-3263.511153,-1921.378305,24601.268721,11437.409990,-29879.007325,-7789.359425
2025-10-29T22:18:53.441,-57981.676815,33046.629494,-8052.953548,-16209.127451,20982.096610,15866.676374,-36587.145816,5399.242687
2025-10-29T22:18:53.445,-59543.370848,34036.409442,-10474.228617,-18402.012396,19788.468753,18938.029580,-38266.946467,13389.767812
2025-10-29T22:18:53.449,-52905.796815,29648.940819,-5896.881926,-4049.711412,23353.437883,14871.196731,-31609.188808,1122.146979
2025-10-29T22:18:53.453,-50706.027532,28151.351589,-3046.766287,-459.730680,24874.541148,11369.170114,-29287.580167,-8217.261221
2025-10-29T22:18:53.457,-56899.427700,32309.938349,-7158.973176,-14007.502974,21600.055289,14951.797122,-35487.238823,2746.962338
2025-10-29T22:18:53.461,-60146.242100,34430.962435,-10712.006475,-19852.752370,19500.891209,19031.661037,-38854.171497,13824.777463
2025-10-29T22:18:53.465,-54245.672136,30530.895952,-7000.678122,-6762.721451,22582.280348,15996.741175,-32966.833766,4334.159712
2025-10-29T22:18:53.469,-50349.830133,27935.612552,-3034.070496,566.192039,25007.466973,11574.582645,-28945.330256,-7838.086228
2025-10-29T22:18:53.473,-55603.026522,31462.606068,-6152.742344,-11228.465882,22328.744510,14024.423245,-34166.809519,22.061172
2025-10-29T22:18:53.478,-60227.848319,34528.416041,-10527.626935,-20180.004261,19534.821157,18756.779284,-38907.726277,13208.718682
2025-10-29T22:18:53.482,-55453.158075,31366.180642,-7911.712874,-9256.550283,21922.881534,16902.210343,-34186.255537,6989.479898
2025-10-29T22:18:53.487,-50139.477866,27847.792548,-3107.518328,1257.531495,25072.108218,11826.240936,-28757.329733,-7287.182783
2025-10-29T22:18:53.491,-54130.538300,30510.175885,-5036.272709,-8072.533676,23152.987439,12963.765915,-32685.112379,-3119.588270
