timestamp,feature_uV_rms_avg
2025-10-28T19:25:33.007,19869.418389429855
2025-10-28T19:25:33.030,28890.344964306943
2025-10-28T19:25:33.056,17007.570878573762
2025-10-28T19:25:33.082,27727.813971378084
2025-10-28T19:25:33.108,17064.741052954323
2025-10-28T19:25:33.129,23266.389014290457
2025-10-28T19:25:33.155,17252.339244167713
2025-10-28T19:25:33.178,18728.66917147269
2025-10-28T19:25:33.202,21014.36135344045
2025-10-28T19:25:33.224,16899.815912522783
2025-10-28T19:25:33.245,21308.943375521107
2025-10-28T19:25:33.271,26937.94243788033
2025-10-28T19:25:33.298,28868.06865698918
2025-10-28T19:25:33.326,17225.114819421153
2025-10-28T19:25:33.352,26196.671978732586
2025-10-28T19:25:33.374,18348.921415081197
2025-10-28T19:25:33.400,29063.16306449927
2025-10-28T19:25:33.426,22145.21713050808
2025-10-28T19:25:33.447,28872.463568742704
2025-10-28T19:25:33.471,20153.51744336098
2025-10-28T19:25:33.496,17716.853197437908
2025-10-28T19:25:33.518,29537.168127258796
2025-10-28T19:25:33.544,20281.335894028653
2025-10-28T19:25:33.565,28174.93547349399
2025-10-28T19:25:33.591,17613.91223834899
2025-10-28T19:25:33.614,29428.75657871444
2025-10-28T19:25:33.639,18699.933210007337
2025-10-28T19:25:33.664,27028.221133735322
2025-10-28T19:25:33.690,22605.763649137458
2025-10-28T19:25:33.713,29453.955376619742
2025-10-28T19:25:33.739,28863.662569363427
2025-10-28T19:25:33.764,18554.8117151632
2025-10-28T19:25:33.789,17656.930964521285
2025-10-28T19:25:33.812,21804.60727865783
2025-10-28T19:25:33.838,19530.557561583228
2025-10-28T19:25:33.863,26065.06490737974
2025-10-28T19:25:33.889,23709.57381541417
2025-10-28T19:25:33.913,29487.184038720618
2025-10-28T19:25:33.935,18864.425285390054
2025-10-28T19:25:33.957,28516.109706891744
2025-10-28T19:25:33.983,29484.74490460693
2025-10-28T19:25:34.006,25562.52784282301
2025-10-28T19:25:34.032,27867.520756127928
2025-10-28T19:25:34.058,18039.911341954634
2025-10-28T19:25:34.084,24618.515885593402
2025-10-28T19:25:34.106,18655.193399511983
2025-10-28T19:25:34.132,28054.364575965956
2025-10-28T19:25:34.157,18057.787149582764
2025-10-28T19:25:34.183,24976.621565416048
2025-10-28T19:25:34.209,20311.379432544643
2025-10-28T19:25:34.233,28365.573501953306
2025-10-28T19:25:34.254,22771.28949270123
2025-10-28T19:25:34.280,29308.805942095034
2025-10-28T19:25:34.306,19401.81430748872
2025-10-28T19:25:34.332,28804.402506876293
2025-10-28T19:25:34.353,23430.601692867484
2025-10-28T19:25:34.379,29219.449255698833
2025-10-28T19:25:34.402,19819.43988882779
2025-10-28T19:25:34.424,21061.179876170143
2025-10-28T19:25:34.445,24445.05796671605
2025-10-28T19:25:34.468,25319.240280299222
2025-10-28T19:25:34.495,28190.802418089203
2025-10-28T19:25:34.520,21568.419188966658
2025-10-28T19:25:34.542,17871.04111862673
2025-10-28T19:25:34.564,29388.788865660295
2025-10-28T19:25:34.590,19533.97737848489
2025-10-28T19:25:34.616,28903.90409128715
2025-10-28T19:25:34.637,22054.759620697456
2025-10-28T19:25:34.659,23314.763777227854
2025-10-28T19:25:34.685,20313.620194926287
2025-10-28T19:25:34.711,18322.227844265446
2025-10-28T19:25:34.734,17866.49253863007
2025-10-28T19:25:34.758,25479.62242867022
2025-10-28T19:25:34.782,28338.477599737358
2025-10-28T19:25:34.804,21534.67643674331
2025-10-28T19:25:34.827,29497.122183099058
2025-10-28T19:25:34.852,24516.18680550895
2025-10-28T19:25:34.877,28996.049157804155
2025-10-28T19:25:34.903,26546.78690991246
2025-10-28T19:25:34.926,17648.12717117395
2025-10-28T19:25:34.953,26381.70810123779
2025-10-28T19:25:34.974,19002.659648973902
2025-10-28T19:25:34.997,29340.210143054745
2025-10-28T19:25:35.018,29709.32126305357
2025-10-28T19:25:35.044,21213.7053863651
2025-10-28T19:25:35.070,27774.062524624176
2025-10-28T19:25:35.096,25617.370641812166
2025-10-28T19:25:35.118,24363.45174770972
2025-10-28T19:25:35.144,20852.68280389104
2025-10-28T19:25:35.168,28086.168314357797
2025-10-28T19:25:35.193,25133.782268617426
2025-10-28T19:25:35.216,29597.724590924336
2025-10-28T19:25:35.238,26077.498065233005
2025-10-28T19:25:35.264,28311.976812717534
2025-10-28T19:25:35.289,18095.65659262617
2025-10-28T19:25:35.315,29437.456995243672
2025-10-28T19:25:35.340,19107.687702201336
2025-10-28T19:25:35.364,26936.917051603443
2025-10-28T19:25:35.388,17838.209199989942
2025-10-28T19:25:35.413,29364.819413700036
2025-10-28T19:25:35.440,19363.338573376965
2025-10-28T19:25:35.466,28923.042772477005
2025-10-28T19:25:35.492,23120.957388992
2025-10-28T19:25:35.518,26196.89270220908
2025-10-28T19:25:35.542,18836.96616732671
2025-10-28T19:25:35.564,25747.329272011437
2025-10-28T19:25:35.587,17586.358125371713
2025-10-28T19:25:35.614,28906.343225400837
2025-10-28T19:25:35.639,19955.855379206587
2025-10-28T19:25:35.665,29059.391207622437
2025-10-28T19:25:35.687,24201.493801354627
2025-10-28T19:25:35.709,20328.045452004128
2025-10-28T19:25:35.735,27856.188421689083
2025-10-28T19:25:35.757,20378.13850529653
2025-10-28T19:25:35.781,24476.39511244239
2025-10-28T19:25:35.805,24653.454456145104
2025-10-28T19:25:35.826,28117.608836902244
2025-10-28T19:25:35.848,17785.56245989352
2025-10-28T19:25:35.872,23829.259025068168
2025-10-28T19:25:35.898,20552.711217428594
2025-10-28T19:25:35.925,19678.928441277556
